FAC_NO,FAC_NAME,BEG_DATE,END_DATE,DAY_PER,COUNTY,TYPE_CNTRL,TYPE_CARE,ADDRESS,CITY,ZIP_CODE,OWNER,DIS_ACUTE,DIS_PSYCH,DIS_CHEM,DIS_REHAB,DIS_LTC,DIS_RESDNT,NETRV_MCAR_TR,NETRV_MCAR_MC,NETRV_MCAL_TR,NETRV_MCAL_MC,NETRV_CNTY,NETRV_THRD_TR,NETRV_THRD_MC,NETRV_OTH_IND,NETRV_OTH,TOT_ASST
106580996,ADVENTIST HEALTH AND RIDEOUT,1/1/2021,12/31/2021,365,Yuba,Non-Profit,General,726 4TH STREET,MARYSVILLE,95901,ADVENTIST HEALTH,12041,0,0,0,0,0,153232927,28746557,15083335,104441863,0,29301959,103282023,0,8621070,451166992
106150788,ADVENTIST HEALTH BAKERSFIELD,1/1/2021,12/31/2021,365,Kern,Non-Profit,General,2615 CHESTER AVENUE,BAKERSFIELD,93301,ADVENTIST HEALTH,15753,0,0,0,0,0,76016756,74991758,21317415,100130013,0,40953543,162812982,0,2054197,390366607
106171049,ADVENTIST HEALTH CLEARLAKE,1/1/2021,12/31/2021,365,Lake,Non-Profit,General,15630 18TH AVENUE,CLEARLAKE,95422,ADVENTIST HEALTH,1313,0,0,0,40,0,57292588,7520061,18245918,34025813,0,6065179,25458047,0,4719328,121827575
106150706,ADVENTIST HEALTH DELANO,1/1/2021,12/31/2021,365,Kern,Non-Profit,General,1401 GARCES HIGHWAY,DELANO,93215,ADVENTIST HEALTH,2092,0,0,0,23,0,12377828,8736013,29235474,31887360,0,8689851,3795461,0,4174967,202162322
106190323,ADVENTIST HEALTH GLENDALE,1/1/2021,12/31/2021,365,Los Angeles,Non-Profit,General,1509 WILSON TERRACE,GLENDALE,91206,ADVENTIST HEALTH,14055,1505,0,509,908,0,154424212,63345502,31058533,100275831,0,4247197,129928889,0,1889934,351175441
106164029,ADVENTIST HEALTH HANFORD,1/1/2021,12/31/2021,365,Kings,Non-Profit,General,115 MALL DRIVE,HANFORD,93232,ADVENTIST HEALTH,10652,0,0,0,0,0,65182749,25694164,36132402,145448740,0,32892821,90274784,0,1048272,756273046
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,1/1/2021,12/31/2021,365,Mendocino,Non-Profit,General,1 MARCELA DRIVE,WILLITS,95490,ADVENTIST HEALTH,1726,0,0,0,118,0,33728038,7182888,2701830,19955574,0,3653310,20094999,0,669774,140974760
106390923,ADVENTIST HEALTH LODI MEMORIAL,1/1/2021,12/31/2021,365,San Joaquin,Non-Profit,General,975 SOUTH FAIRMONT AVENUE,LODI,95240,"LODI MEMORIAL HOSPITAL ASSOCIATION, INC.",6637,0,0,173,0,0,59432950,21710871,16244599,49421743,0,8595052,98217280,0,1365482,240345529
106231013,ADVENTIST HEALTH MENDOCINO COAST,1/1/2021,12/31/2021,365,Mendocino,Non-Profit,General,700 RIVER DRIVE,FORT BRAGG,95437,ADVENTIST HEALTH,669,0,0,0,138,0,30976391,1290775,2169790,7746458,0,12171866,639322,0,234512,33410809
106100797,ADVENTIST HEALTH REEDLEY,1/1/2021,12/31/2021,365,Fresno,Non-Profit,General,372 WEST CYPRESS AVENUE,REEDLEY,93654,ADVENTIST HEALTH,1603,0,0,0,143,0,33344447,3997772,16204749,104348308,0,3218921,21685568,0,1852718,289898512
106560525,ADVENTIST HEALTH SIMI VALLEY,1/1/2021,12/31/2021,365,Ventura,Non-Profit,General,2975 N SYCAMORE DRIVE,SIMI VALLEY,93065,ADVENTIST HEALTH,7430,0,0,0,0,0,47970816,24198091,7086992,23404639,0,2068012,86289650,0,1595209,175402885
106554011,ADVENTIST HEALTH SONORA - GREENLEY,1/1/2021,12/31/2021,365,Tuolumne,Non-Profit,General,1000 GREENLEY ROAD,SONORA,95370,ADVENTIST HEALTH,3578,0,0,0,610,0,116031844,6273742,19413641,46161226,0,14241839,85885824,0,1788515,379691130
106281078,ADVENTIST HEALTH ST. HELENA,1/1/2021,12/31/2021,365,Napa,Non-Profit,General,10 WOODLAND ROAD,ST. HELENA,94574,ST. HELENA,3481,0,0,0,0,0,75987748,20372168,12842973,51144976,0,8688661,58129549,0,1647419,161588618
106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,1/1/2021,12/31/2021,365,Kern,Non-Profit,General,1100 MAGELLAN DRIVE,TEHACHAPI,93561,ADVENTIST HEALTH,1093,0,0,0,39,0,8735481,9953875,1953863,10033325,0,6587087,15191268,0,164537,73029438
